User_ID,Books_ID
z,000101688001
z,000101688001
z,000104574001
z,000104574001
z,000104842001
z,000104787001
z,000108051001
z,000108477001
z,000108604001
z,000108616001
z,000101723001
z,000108246001
z,000108634001
z,000108808001
z,000108973001
z,000109006001
z,000109027001
z,000109070001
z,000109248001
z,000109248001
z,000109261001
z,000109268001
z,000109279001
z,000109289001
z,000109359001
z,000111119001
z,000111357001
z,000111756001
z,000112367001
z,000112367001
z,000113727001
z,000113748001
z,000115657001
z,000118589001
z,000126086001
z,000126224001
z,000126076001
z,000126818001
z,000119400001
z,000119967001
z,000127778001
z,000131370001
z,000131487001
z,000131523001
z,000131625001
z,000131819001
z,000131854001
z,000131852001
z,000132765001
z,000132929001
z,000134129001
z,000134128001
z,000134593001
z,000134925001
z,000134925001
z,000134974001
z,000134795001
z,000135430001
z,000137574001
z,000138095001
z,000138106001
z,000138472001
z,000138448001
z,000138794001
zcc,000103462001
zcc,000103523001
zcc,000103523001
zcc,000104720001
zcc,000108127001
zcc,000108246001
zcc,000108640001
zcc,000108640001
zcc,000108641001
zcc,000108733001
zcc,000108733001
zcc,000108993001
zcc,000108993001
zcc,000108993001
zcc,000108993001
zcc,000109261001
zcc,000101986001
zcc,000101993001
zcc,000101993001
zcc,000111527001
zcc,000117390001
zcc,000117477001
zcc,000077872001
zcc,000131480001
zcc,000131480001
zcc,000133431001
zcc,000133874001
zcc,000133798001
zcc,000134866001
zcc,000136564001
zcc,000136988001
zcc,000137791001
zcc,000138098001
zccl,000103521001
zccl,000104791001
zccl,000104791001
zccl,000104873001
zccl,000109352001
zccl,000109532001
zccl,000109846001
zccl,000112046001
zccl,000112046001
zccl,000112530001
zccl,000117483001
zccl,000118790001
zccl,000118676001
zccl,000118676001
zccl,000118791001
zccl,000118878001
zccl,000119459001
zccl,000134105001
zczz,000104768001
zczz,000111288001
zczz,000118190001
zczz,000119219001
zcza,000101738001
zcza,000115817001
zcza,000118692001
zcza,000132111001
zcza,000132111001
zcza,000132112001
zcza,000132112001
zcza,000132113001
zcza,000132118001
zcza,000132772001
zcza,000133118001
zcza,000133126001
zcza,000133127001
zcza,000134217001
zcm,000101656001
zcm,000103543001
zcm,000108236001
zcm,000109712001
zcm,000109712001
zcm,000109870001
zcm,000109411001
zcm,000109899001
zcm,000111016001
zcm,000111203001
zcm,000111510001
zcm,000113977001
zcm,000115641001
zcm,000116289001
zcm,000118864001
zcm,000118865001
zcm,000127553001
zcm,000127574001
zcm,000127554001
zcm,000131163001
zcm,000131539001
zcm,000131584001
zcm,000131584001
zcm,000131704001
zcm,000131704001
zcm,000131900001
zcm,000131900001
zcm,000132856001
zcm,000137018001
zcm,000137822001
zcmk,000117411001
zcmk,000126686001
zcmk,000134611001
zck,000101601001
zck,000104238001
zck,000109123001
zck,000109154001
zck,000111752001
zck,000109929001
zck,000111816001
zck,000113653001
zck,000113653001
zck,000113652001
zck,000113652001
zck,000117628001
zck,000118845001
zck,000099000001
zck,000127668001
zck,000127735001
zck,000131383001
zck,000131476001
zck,000131476001
zck,000131812001
zck,000131805001
zck,000132348001
zck,000132748001
zck,000132812001
zck,000135795001
zck,000138286001
zckl,000117455001
zckl,000133138001
zckl,000133829001
zcpk,000131868001
zcpy,000109581001
zcyp,000101648001
zcyp,000113121001
zcyp,000137957001
zcyp,000137942001
zcyp,000137826001
zcyp,000138081001
zcyp,000138483001
zcyp,000138491001
zz,000101604001
zz,000100962001
zz,000104832001
zz,000101887001
zz,000101984001
zz,000101984001
zz,000109856001
zz,000111449001
zz,000111449001
zz,000111486001
zz,000111949001
zz,000111949001
zz,000111960001
zz,000111960001
zz,000111990001
zz,000114038001
zz,000114038001
zz,000117482001
zz,000118709001
zz,000118631001
zz,000119914001
zz,000127577001
zz,000127577001
zz,000127762001
zz,000127762001
zz,000127762001
zz,000127761001
zz,000127761001
zz,000127761001
zz,000127763001
zz,000131102001
zz,000131099001
zz,000131094001
zz,000133135001
zz,000133811001
zz,000137257001
zz,000137249001
zz,000137258001
zz,000137347001
zzcz,000101890001
zzcz,000114029001
zzz,000103439001
zzz,000103641001
zzz,000104431001
zzz,000101675001
zzz,000104474001
zzz,000108140001
zzz,000108516001
zzz,000108149001
zzz,000108538001
zzz,000108742001
zzz,000101867001
zzz,000109252001
zzz,000109271001
zzz,000109271001
zzz,000109439001
zzz,000109679001
zzz,000109952001
zzz,000109955001
zzz,000109958001
zzz,000109993001
zzz,000111233001
zzz,000111234001
zzz,000111454001
zzz,000111520001
zzz,000111526001
zzz,000111528001
zzz,000111530001
zzz,000111531001
zzz,000111651001
zzz,000111652001
zzz,000113021001
zzz,000112963001
zzz,000113131001
zzz,000115428001
zzz,000115772001
zzz,000115800001
zzz,000116077001
zzz,000007392001
zzz,000117599001
zzz,000118170001
zzz,000118165001
zzz,000118162001
zzz,000118862001
zzz,000119509001
zzz,000119509001
zzz,000119509001
zzz,000119510001
zzz,000119519001
zzz,000119906001
zzz,000119928001
zzz,000131100001
zzz,000131100001
zzz,000131164001
zzz,000131164001
zzz,000131478001
zzz,000132857001
zzz,000132768001
zzz,000132862001
zzz,000133939001
zzz,000134741001
zzm,000113917001
zzm,000117023001
zzkm,000103462001
zzkm,000103725001
zzkm,000104583001
zzkm,000101857001
zzkm,000109483001
zzkm,000111289001
zzkm,000117371001
zzkm,000117444001
zzkm,000118541001
zzkm,000127659001
zzkm,000135426001
zzkm,000135927001
zzkm,000136296001
zzkm,000136398001
zzkm,000137596001
zzkm,000137658001
zzkm,000138820001
zzkm,000138575001
zzlm,000119300001
zzppyccfc,000109367001
zzppyccfc,000117309001
zzppyccfc,000117631001
zzppyzcky,000104015001
zzppyzcky,000104130001
zzppyzcky,000104130001
zzppyzcky,000132607001
zzppyzcky,000136092001
zzppyzayf,000117630001
zzppyzayf,000118983001
zzppyzayf,000132815001
zzppyzayf,000138704001
zzppyzypa,000136561001
zzpfccpzc,000103745001
zzpfccpzc,000104903001
zzpfccpzc,000108200001
zzpfccpzc,000118803001
zzpfccpzc,000127710001
zzpfccrlz,000119917001
zzpfccrlz,000131668001
zzpfccrlz,000137165001
zzpfczckz,000118803001
zzpfczyly,000132750001
zzpfcmcfm,000116294001
zzpfcmcfm,000133657001
zzpfzcckm,000104132001
zzpfzcckm,000119368001
zzpfzcckm,000132245001
zzpfzckzy,000104015001
zzpfzckzy,000118246001
zzpfzckzy,000131817001
zzpfzckzy,000131817001
zzpfzmacm,000119533001
zzprmcpza,000104128001
zzprmmrzm,000132248001
zzfkazplk,000115696001
zzfklckyy,000131831001
zzfklclpz,000127707001
zzfklzmlf,000113651001
zzfklzmlf,000134141001
zzfklzkkl,000108001001
zzfklzpzy,000089557001
zzfklzpzy,000089558001
zzfklzpzy,000072877001
zzfklzpzy,000133897001
zzfklmkrk,000126950001
zzfklmpza,000133688001
zzfklkack,000113992001
zzfkpzkza,000136561001
zzfkpzaly,000131214001
zzfkpzaly,000131214001
zzfkpzlar,000136561001
zzfkpzlar,000136561001
zzfkpzlar,000119369001
zzfkpzlar,000119369001
zzfkpzlar,000119369001
zzfkpzplk,000117487001
zzfkpmmpl,000134048001
zzfkpmarl,000113144001
zzfkpmpzy,000103788001
zzfkpmplc,000117194001
zzfkpmplc,000126347001
zzfkpmplc,000134145001
zzfkpmrkc,000134229001
zzfkpmral,000136482001
zzfkpmrfz,000119373001
zzfkfclay,000117449001
zzfkfcyzr,000134197001
zzfkfzlkl,000118617001
zzfkfzllk,000113651001
zzfkfzllk,000118966001
zzfkfzlyc,000113144001
zzfkfzlyc,000133640001
zzfkfmpcf,000133361001
zzfkfmfll,000136478001
zzfkfmfll,000136522001
zzfkfmfll,000136522001
zzfkfmfll,000136970001
zzfkfmfll,000136970001
zzfkfmyzc,000136483001
zzfkfmyzm,000104793001
zzfkfmyzm,000136249001
zzfkfmyzm,000136249001
zzfkfkrcf,000138116001
zzfkrccrz,000116294001
zzfkrczky,000111354001
zzfkrckml,000135368001
zzfkrckml,000135002001
zzfkrckpf,000136561001
zzfkrcamc,000118777001
zzfkrcamc,000133399001
zzfkrcamc,000133888001
zzfkrcamc,000137635001
zzfkrcamc,000137634001
zzfkrzmla,000109583001
zzfkrzmla,000109583001
zzfkrzmla,000126950001
zzfkrzmla,000119479001
zzfkrzakr,000138945001
zzfkrzyym,000112036001
zzfkrzyym,000118178001
zzfkrzyym,000089560001
zzfkrzyym,000089557001
zzfkrzyym,000089557001
zzfkrzyym,000089557001
zzfkrzyym,000118770001
zzfkrzyym,000072873001
zzfkrzyym,000126378001
zzfkrzyym,000133243001
zzfkrzyym,000133897001
zzfkrzyym,000135023001
zzfkrzyym,000135707001
zzfkrzyym,000135795001
zzfkrzyym,000136725001
zzfkyzzyk,000118978001
zzfkyzzyk,000118978001
zzfkyzzyk,000133657001
zzfa,000113673001
zzfa,000115695001
